Lens ID,Title,Date Published,Publication Year,Publication Type,Author/s,Abstract,Fields of Study,Keywords,Citing Works Count
062-282-269-962-585,What abates carbon emissions in China: Examining the impact of renewable energy and green investment,2021-02-23,2021,journal article,Yongming Huang; Lian Xue; Zeeshan Khan,"With a rising trend in global CO2 emissions due to industrialization, the role of renewable energy, technological innovation and green investment in curbing is critical. The main contribution of the current paper is to examine the impact of green investment, renewable energy consumption and technological innovation on CO2 emissions of 30 sample provinces of China from 1995–2019. The results of CS‐ARDL approach shows that renewable energy, technological innovation and green investment is important in abating CO2 emissions in China. Also, EKC for provincial data of China is confirmed. However, financial development escalates carbon emissions in China. It is also found that any policy change in green investment, financial development, renewable energy, technological innovation, and natural resource rent has strong implications for environmental quality of China. Therefore, shifting the economic structure to renewable energy is an important strategy to reduce carbon emissions. It is suggested that an adequate level of green investment projects should be initiated. Appropriate regulatory and economic drivers can boost investment businesses with more resources provided for the promotion of technical assistance.",Business; Natural resource economics; Renewable energy; China; Environmental degradation; Investment (macroeconomics); Natural resource; Industrialisation; Greenhouse gas; Environmental quality,,19
062-412-440-904-098,An Asymmetric Nexus between Urbanization and Technological Innovation and Environmental Sustainability in Ethiopia and Egypt: What Is the Role of Renewable Energy?,2022-06-23,2022,journal article,Cankun Ma; Md. Qamruzzaman,"<jats:p>The present study investigates the nexus between urbanization, technological innovation, renewable energy consumption, and environmental quality in Egypt and Ethiopia from 1980 to 2020 by employing symmetric and asymmetric frameworks. Referring to symmetric assessment, the coefficient of renewable energy consumption and technological innovation revealed a negative and statistically significant tie with environmental sustainability, valid for both proxies. Study findings suggest that clean energy integration and technological innovations in the economy decrease environmental adversity by reducing carbon emissions and ecological blames. Although the elasticity of urbanization has documented a positive and statistically significant connection with environmental sustainability, the conclusion is valid for both models. Second, in the long run, the asymmetric shocks of renewable energy consumption and technological innovation have exposed a negative and statistically significant tie to environmental sustainability, whereas in the case of urbanization, the asymmetric shocks unveiled a positive and statistically significant association to environmental sustainability. Third, the study revealed that the feedback hypothesis explains the relationship between technological innovation and environmental sustainability [TI←→EF] in Egypt and ecological footprint and urbanization in Egypt and Ethiopia. Moreover, unidirectional causality runs from ecological footprint to renewable energy consumption in Egypt and Ethiopia.</jats:p>",Sustainability; Nexus (standard); Urbanization; Renewable energy; Ecological footprint; Natural resource economics; Energy consumption; Economics; Environmental quality; Consumption (sociology); Emergy; Environmental degradation,,1
062-481-644-015-638,Machine–learning-enabled metasurface for direction of arrival estimation,2022-01-11,2022,journal article,Min Huang; Bin Zheng; Tong Cai; Xiaofeng Li; Jian Liu; Chao Qian; Hongsheng Chen,"<jats:title>Abstract</jats:title>;                <jats:p>Metasurfaces, interacted with artificial intelligence, have now been motivating many contemporary research studies to revisit established fields, e.g., direction of arrival (DOA) estimation. Conventional DOA estimation techniques typically necessitate bulky-sized beam-scanning equipment for signal acquisition or complicated reconstruction algorithms for data postprocessing, making them ineffective for <jats:italic>in-situ</jats:italic> detection. In this article, we propose a machine-learning-enabled metasurface for DOA estimation. For certain incident signals, a tunable metasurface is controlled in sequence, generating a series of field intensities at the single receiving probe. The perceived data are subsequently processed by a pretrained random forest model to access the incident angle. As an illustrative example, we experimentally demonstrate a high-accuracy intelligent DOA estimation approach for a wide range of incident angles and achieve more than 95% accuracy with an error of less than <jats:inline-formula id=""j_nanoph-2021-0663_ineq_001"">;                      <jats:alternatives>;                         <m:math xmlns:m=""http://www.w3.org/1998/Math/MathML"" overflow=""scroll"">;                            <m:mrow>;                               <m:mn>0.5</m:mn>;                               <m:mo>°</m:mo>;                            </m:mrow>;                         </m:math>;                         <jats:tex-math>; $0.5{}^{\circ}$; </jats:tex-math>;                         <jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""graphic/j_nanoph-2021-0663_ineq_001.png"" />;                      </jats:alternatives>;                   </jats:inline-formula>. The reported strategy opens a feasible route for intelligent DOA detection in full space and wide band. Moreover, it will provide breakthrough inspiration for traditional applications incorporating time-saving and equipment-simplified majorization.</jats:p>",Direction of arrival; Computer science; Range (aeronautics); SIGNAL (programming language); Random forest; Series (stratigraphy); Algorithm; Signal processing; Artificial intelligence,,5
062-563-103-528-202,Model for technological innovation integration and new product development in firms under innovation discontinuities,2020-10-30,2020,journal article,Jorge Lino Alves; Selma Regina Martins Oliveira,"<jats:p>This article aims to contribute to a new planning policy in the development of innovative products. To do so, it presents a new modelling proposal to integrate technological innovation and new product development in a company of the traditional pewter sector in Portugal, under innovation discontinuities, carried out according to the following stages: Phase 1: Modelling of the information needs in product development process; Phase 2: Determining of technology integration dimensions to the product; and Phase 3: Evaluating the performance of technology integration dimensions to the product. A case study was conducted in a company of traditional tin sector in Portugal. The investigation was helped by the intervention of specialists. In order to reduce the subjectivity in the obtained results, the methods of Categorical Judgment Law, Artificial Neural Networks, the multi-criteria Electre III methods, compromised programming and Promethee II, multivariate analysis and the neuro fuzzy technology were used. The results were satisfactory, validating the present proposal.;  ; Keywords: Modelling proposal, planning, integration, technological innovation, new product development, traditional pewter sector.;  </jats:p>",Business; Classification of discontinuities; New product development; Industrial organization,,0
062-656-342-824-810,Innovative Use of TPOA Telecentres for Covid-19 Awareness among the Orang Asli Communities,2020-12-01,2020,conference proceedings article,Chong Eng Tan; Sei Ping Lau; Siew Mooi Wong; Poline Bala,"This paper presents the social innovation of using the TPOA telecentres as a means to create Covid-19 awareness among the Orang Asli community. The various challenges in the current means of information dissemination by the government have been highlighted, which led to an innovative adjustment on the information to be disseminated as well the adoption of a new mechanism of information dissemination to effectively convey the important Covid-19 awareness across the Orang Asli villages. The important considerations for coming up with the new information dissemination mechanism for the Orang Asli community have also been discussed together with its implementation executed through the local Orang Asli telecentre caretakers. The new dissemination mechanism aimed to achieve faster delivery and a better understanding of messages among the local community to gain quick Covid-19 awareness to better prepare them when visiting the higher risk urban areas. The learning process is part of the development for social resilience.",Psychological resilience; Business; Government; Local community; Information Dissemination; Social innovation; 2019-20 coronavirus outbreak; Coronavirus disease 2019 (COVID-19); Knowledge management; Information and Communications Technology,,0
062-765-008-290-393,Reti di imprese e innovazione tecnologica,2020-10-15,2020,,Giuseppe Doria,"There is a functional connection between business networks and technological innovation. Infact, the network contract can be made up of innovative start-ups and the program may include the promotion of technological innovation. The question is inherent in the purchase and management of intellectual – industrial property rights possibility created in the implementation of the network program. Criticalities emerge that can be overcome with recourse to statutory autonomy. In this way, a reflection is requested in order to eliminate the potential difficulties in applying the network tool, in a sector –such as that of the promotion of technological innovation- wich, especially in the contingency of the current health and economic emergency, seems destined to enhance the competitive environment.",Business; Statutory law; Order (business); Industrial property; Industrial organization; Autonomy; Reflection (computer programming); Promotion (rank); Contingency,,0
062-778-159-632-701,Macroscopic assembled graphene nanofilms based room temperature ultrafast mid‐infrared photodetectors,2022-03-18,2022,journal article,Li Peng; Lixiang Liu; Sichao Du; Srikrishna Chanakya Bodepudi; Lingfei Li; Wei Liu; Runchen Lai; Xiaoxue Cao; Wenzhang Fang; Yingjun Liu; Xinyu Liu; Jianhang Lv; Muhammad Abid; Junxue Liu; Shengye Jin; Kaifeng Wu; Miao‐Ling Lin; Xin Cong; Ping‐Heng Tan; Haiming Zhu; Qihua Xiong; Xiaomu Wang; Weida Hu; Xiangfeng Duan; Bin Yu; Zhen Xu; Yang Xu; Chao Gao,"Graphene with linear energy dispersion and weak electron–phonon interaction is highly anticipated to harvest hot electrons in a broad wavelength range. However, the limited absorption and serious backscattering of hot-electrons result in inadequate quantum yields, especially in the mid-infrared range. Here, we report a macroscopic assembled graphene (nMAG) nanofilm/silicon heterojunction for ultrafast mid-infrared photodetection. The assembled Schottky diode works in 1.5–4.0 μm at room temperature with fast response (20–30 ns, rising time, 4 mm2 window) and high detectivity (1.6 × 1011 to 1.9 × 109 Jones from 1.5 to 4.0 μm) under the pulsed laser, outperforming single-layer-graphene/silicon photodetectors by 2–8 orders. These performances are attributed to the greatly enhanced photo-thermionic effect of electrons in nMAG due to its high light absorption (~40%), long carrier relaxation time (~20 ps), low work function (4.52 eV), and suppressed carrier number fluctuation. The nMAG provides a long-range platform to understand the hot-carrier dynamics in bulk 2D materials, leading to broadband and ultrafast MIR active imaging devices at room temperature.",Materials science; Graphene; Optoelectronics; Photodetection; Photodetector; Infrared; Ultrashort pulse; Silicon; Thermionic emission; Absorption (acoustics); Electron,,3
063-193-384-500-812,Patent value indicators and technological innovation,2021-06-09,2021,journal article,Roger Svensson,"I provide empirical evidence that patent value indicators can identify technological innovation among inventors and small- and medium-sized enterprises in Sweden. Survey data on the commercialization of patents are related to patent value indicators (patent renewal, patent family size and forward citations) from archival sources. Among the patent value indicators, both the length of patent renewal and the size of the patent family indicate that a patent has been commercialized. Patent renewal for at least 6 years is sufficient to predict an accurate probability of commercialization. Furthermore, patent renewal is the only indicator revealing whether commercialization is successful. Forward citations have a moderate relationship with both commercialization and successful innovation, which may reflect the fact that citations are outside the control of the patentees or that forward citations measure spillovers rather than the private value. Although the correlations of the patent value indicators with technological innovation are noisy, this study provides stronger empirical support for the true relative value of different indicators with respect to innovation.",Empirical research; Business; Empirical evidence; Survey data collection; Relative value; Value (economics); Commercialization; Industrial organization,,1
063-210-749-667-482,Gaining Strategic Advantage through Social and Technological Innovation: Evidence from European Countries,,2020,book chapter,Çağlar Doğru,"<jats:p>In this chapter, innovation, one of the most important factors for contemporary organizations and even countries, is analyzed in depth. The concept of innovation is divided into two major fields, which are social innovation and technological innovation. The relationship between these two innovation types and gaining strategic advantage are figured out in a macro perspective. To achieve this, the strongest innovators in Europe were selected. Among them are Switzerland, Sweden, Denmark, Finland, Netherlands, Germany, and Norway. To compare the countries, Social Innovation Index and European Innovation Scoreboard were employed to get secondary data. It was observed that by investing more on social and technological innovation, these European countries perform better and gain strategic advantage, which helps them build sustainable future. </jats:p>",Business; Strategic advantage; Industrial organization,,2
063-332-441-169-060,The technological innovation of the blockchain and its impact on the energy sector,2020-10-20,2020,journal article,Julieta Evangelina Sánchez Cano,"The blockchain application is a technological innovation that promises to revolutionize the way to negotiate the raw materials of the oil sector, through the use of cryptographic techniques that allow the streamlining of complex transactions that are being applied in trade and business. Companies can use a new generation of transactional applications in a safe and immediate way, based on the concept and application of blockchain technology, allowing accelerating the time to value for business and business initiatives. The objective of this article is to generate reflective analysis and discussion, through the combination of an analytical methodology, structural-causal, on technological innovation called blockchain, its application and repercussions, which have the capacity to improve transactions in the energy sector thanks to its decentralized and incorruptible system. At the present, innovation and technology are important instruments to establish improvements in the growth and economic development of the energy sector, the main foundation of the global economy in many respects, since this sector is strategic for reasons of national security in all the countries of the world.",Business; Cryptography; Negotiation; Value (ethics); Blockchain; Energy sector; Industrial organization; National security; Transactional leadership,,0
063-400-737-988-411,Technological Innovation and the Power of Leapfrogging,2021-04-07,2021,book chapter,Jakkie Cilliers,"Technological innovation and the notion of leapfrogging are imperative to Africa’s future and will shape development on the continent in ways that are difficult to anticipate. However, the impact of the shale and tight oil revolution in the USA demonstrates the potential of new technologies to leapfrog aspects of traditional development. This is most likely in the renewable energy space provided the challenges associated with energy storage can be overcome. Already the uptake of mobile phones and the internet have brought financial services to millions and mobile telephony is at the forefront of social change in Africa. Building on the example of what is happening in Ghana that was explored in Chapter 9, this chapter models the impact of a Leapfrogging scenario.",The Internet; Financial services; Business; Social change; Emerging technologies; Leapfrogging; Industrial organization; Mobile technology; Information and Communications Technology; Mobile telephony,,0
063-545-417-516-324,"Time Pressure: Innovation, Acceleration and the Speeding-Up of Everyday Life",2020-08-18,2020,book chapter,Dale Southerton,"Popular science books diagnose a chronic speeding-up of more or less all aspects of social lives. This chapter explores contentions that life is getting faster and in so doing leads to experiences of time pressure. The idea that societies are accelerating as a consequence of technological innovations has been popular throughout the modern period. Acceleration in the nineteenth century was associated with technological advances in transport and communications, the rapid circulation of goods and the emergence of fashion as a means of expressing lifestyle and identity. Further technological innovations in travel and communications in the post-Second World War period further accelerate the pace of modern life to the extent that some theorists claim that the only stable feature of late-modern societies is their constant and rapid change. The rate of technological innovations constantly increases, the speed of change outstrips the pace at which social institutions (e.g. the family, occupational structures and forms of governance) can respond, and together mean that everyday lives come to be an overwhelming experience of speed and time pressure. Digital technologies bring with them new expectations of ‘instantaneous’ access to knowledge, goods and services, and in the process fragment and intensify activities. They also offer scope for new ‘temporalities’ based around ‘network time’. Empirical studies, however, provide limited corroboration of activity fragmentation or intensification, and research into interactions with email, mobile phones and the internet suggest that such technologies afford forms of deceleration and control juxtaposed with experiences of acceleration and feelings of being overwhelmed by competing demands on one’s time.",The Internet; Empirical research; Business; Goods and services; Temporalities; Pace; Identity (social science); Everyday life; Market economy; Corporate governance,,1
063-647-988-087-890,Is clean energy prosperity and technological innovation rapidly mitigating sustainable energy-development deficit in selected sub-Saharan Africa? A myth or reality,2021-11-01,2021,,Andrew Adewale Alola; Ilhan Ozturk; Festus Victor Bekun,"Abstract United Nations Sustainable Development Goals (UN-SDGs) such as access to clean energy (SDG-7), responsible energy consumption (SDG-12) and sustainable economic growth revolves around the subject of human development that resonates with (SDG-8), and among others. Based on these highlights, this study examines sustainable development for the panel of selected Sub-Sahara African countries that are largely plagued with huge energy deficit (energy poverty) and setback in technological innovation. This study leverages on panel econometrics strategies to explore the hypothesized relationship between the outlined indicators for the period 2000–2016 in Sub-Saharan African countries. Empirical results show that human development index (HDI), economic expansion, access to clean energy. and technological innovation exhibits long-run equilibrium relationship. Subsequently, the finding revealed that economic expansion, access to energy and technological innovation in the sampled countries spur higher HDI indices. That is, a 1% increase in economic growth increases HDI by 0.040% and 0.017% in the short and long run respectively. Thus, we can infer that enhanced sustainable economic growth leads to higher HDI indices which encompases higher literacy rate, better income level and increase life expectancy in both short and long run. In contrary, access to clean energy in the selected blocs dampens HDI index in the short run but the effect is statistically positive (desirable) in the long run.",Economics; Short run; Prosperity; Energy poverty; Human Development Index; Energy consumption; Human development (humanity); Development economics; Economic expansion; Sustainable development,,0
063-777-174-059-247,"Technological innovations: application, prospects, development trends",2020-05-05,2020,journal article,Maxim Pasholikov; Georgy Dudakov,"<jats:p>Innovations play a decisive role in the country’s economy, as they allow making scientific discoveries, improving production, and creating a fundamentally new product. The main goal of the research is to study technological innovations for determining prospects and development trends. Evaluation, comparison, analyzation and systematization methods for data were used throughout the research. Road construction was chosen as the object of the study. Themonitoring result of the innovation development strategy is the definition of boundaries of financing the fundamental and applied science sectors.Support for the commercialization of developments and an assessment of the country’s existing innovative potential are also identified. The obtained results allow determining the main application areas of technological innovations.</jats:p>",Business; Regional science,,1
063-813-609-060-34X,Conceptual Modeling of Extended Collision Warning System from the Perspective of Smart Product-Service System.,2022-06-20,2022,journal article,Chunlong Wu; Hanyu Lv; Tianming Zhu; Yunhe Liu; Marcus Vinicius Pereira Pessôa,"While Product-Service Systems (PSS) have a potential sustainability impact by increasing a product's life and reducing resource consumption, the lack of ownership might lead to less responsible user behavior. Smart PSS can overcome this obstacle and guarantee correct and safe PSS use. In this context, intelligent connected vehicles (ICVs) with PSS can effectively reduce traffic accidents and ensure the safety of vehicles and pedestrians by guaranteeing optimal and safe vehicle operation. A core subsystem to support that is the collision-warning system (CWS). Existing CWSs are, however, limited to in-car warning; users have less access to the warning information, so the result of CWS for collision avoidance is insufficient. Therefore, CWS needs to be extended to include more elements and stakeholders in the collision scenario. This paper aims to provide a novel understanding of extended CWS (ECWS), outline the conceptual framework of ECWS, and contribute a conceptual modeling approach of ECWS from the smart PSS perspective at the functional level. It defines an integrated solution of intelligent products and warning services. The function is modeled based on the Theory of Inventive Problem Solving (TRIZ). Functions of an ECWS from the perspective of smart PSS can be comprehensively expressed to form an overall solution of integrated intelligent products, electronic services, and stakeholders. Based on the case illustration, the proposed method can effectively help function modeling and development of the ECWS at a conceptual level. This can effectively avoid delays due to traffic accidents and ensure the safety of vehicles and pedestrians.",Product-service system; Context (archaeology); Function (biology); Service (business); Computer science; Risk analysis (engineering); Obstacle; Product (mathematics); Warning system; Computer security; Resource (disambiguation); Advanced driver assistance systems; Intelligent transportation system; Conceptual model; Systems engineering,TRIZ function model; conceptual modeling; extended collision-warning system; smart product-service system,0
063-933-691-355-599,CSIA (1) - On the Technological Innovation Path of Artificial Intelligence in the Integration of Production and Education.,2021-03-11,2021,book,Yadan Xu; Zhibin Li,"A new round of technological and industrial revolution is coming, and artificial intelligence with information technology as the core will become a hot spot in economic development. The industrial innovation and scientific progress triggered by artificial intelligence will surely lead the direction of scientific and technological innovation, and vocational education closely related to economy and society must respond to and lead this orientation. From the perspective of the integration of industry and education, this paper analyzes its characteristics, and explores how to exert the thrust of industrial revolution brought by artificial intelligence in the process of integration of industry and education to realize scientific and technological innovation.",Information technology; Engineering; Artificial intelligence; Scientific progress; Production (economics); Process (engineering); Industrial Revolution; Vocational education,,0
064-000-613-914-713,Innovation in an authoritarian society: China during the pandemic crisis,2021-01-04,2021,journal article,Jie Xiong; Jie Yan; Kun Fu; Ke Wang; Yuanqiong He,"Purpose: This paper aims to understand the role of government played in the innovation process during the social crisis, and to investigate the innovation activities of the authoritarian state when dealing with social crisis Design/methodology/approach: Secondary data pertaining to eight impactful technological innovations in China during the COVID-19 crisis reveal how interactions and joint efforts by commercial firms and government organizations emerged as spontaneous responses Findings: The analysis of eight innovations – health code adoption, health omnichannel construction, noncontact service provision, distance education provision, public emotion consolation service, cross-boundary project promotion, cloud office adoption and medical material production – reveals a matrix of best practices that details the roles of government (controller or endorser) and the value creation orientation (pro-social or pro-economic value) Originality/value: This study enriches innovation literature by providing a new perspective on the relationship between governmental force and technological innovation during social crises As these new insights reveal, technological innovation can contribute to social crisis management China’s example provides helpful implications for other countries suffering from the COVID-19 crisis © 2020, Emerald Publishing Limited",Government; Political science; Best practice; Value (ethics); Originality; Omnichannel; Public relations; Service (economics); Promotion (rank); Authoritarianism,,5
064-177-001-381-163,The Impact of Coordinated Development of Ecological Environment and Technological Innovation on Green Economy: Evidence from China.,2022-06-07,2022,journal article,Lining Su,"Promoting the coordinated development of ecological environment and technological innovation is significant to the development of a green economy. In this study, we construct an index system of ecological environment, technological innovation, and green economy based on the panel data of 30 provinces and cities in China from 2005 to 2016, using the entropy weight method, the coupling coordination model, and the panel vector autoregressive model (PVAR) to calculate the comprehensive development levels of ecological environment, technological innovation, and green economy and the coordination degree between ecological environment and technological innovation, and then further explore the impact of the coordinated development level of ecological environment and technological innovation on the development of a green economy. The research results include: First, from 2005 to 2016, the comprehensive development levels of ecological environment, technological innovation, and green economy in China's 30 provinces and cities achieved different degrees of improvement as a whole. Among them, the comprehensive development level of green economy was the highest, followed by the development level of technological innovation, and the comprehensive development level of ecological environment was the lowest. Second, from 2005 to 2016, the coordination degree between ecological environment and technological innovation in China's provinces and cities increased year by year, but on the whole, the coordination degree between ecological environment and technological innovation in various regions was in a state of imbalance. Third, there was a long-term equilibrium relationship among the coordinated development levels of ecological environment, technological innovation, and green economy. Fourth, through pulse analysis and Monte Carlo simulation, we found that the coordinated development level of ecological environment and technological innovation had a lagging positive impact on green economy. Finally, we provide a summary of the results of this study.",Green economy; Green development; China; Business; Panel data; Technological change; Technological innovation system; Ecology; Index (typography); Economic system; Economy,coupling coordination; ecological environment; green economy; technological innovation,1
064-288-144-007-939,"The dynamic nexus between air transport, technological innovation, FDI, and economic growth: evidence from BRICS-MT countries.",2022-05-10,2022,journal article,Amir Iqbal; Xuan Tang; Sayeda Jahangir; Shahid Hussain,"This study examines the endogenous growth theory for technological innovation and economic growth with the role of foreign direct investment (FDI) and air transport freight in seven emerging BRICS-MT economies. In the existing literature, there is no significant empirical evidence on the dynamic relationship among technological innovation, air transport freight, FDI, and economic growth in BRICS-MT countries. Thus, the current study contributes to the growing literature regarding the role of technological Innovation, air transport, and FDI on economic growth. To this end, we explore the dynamic nexus between technological innovation, air transport, FDI, and economic growth in 7 selected emerging BRICS-MT countries, including Brazil, Russia, India, China, South Africa, Mexico, and Turkey. This study covers the most recent updated period for panel data from 2000 to 2019. We applied panel cointegration, dynamic ordinary least square (DOLS), fully modified ordinary least square (FMOLS), and Granger causality tests to draw empirical inferences. The Pedroni panel and Kao residual cointegration tests confirm the long-run relationships among the variables. The DOLS results indicate that air transport freight, technological innovation, and FDI significantly positively impact economic growth. This study's findings confirmed the endogenous growth model in BRICS-MT countries. Furthermore, the Granger causality test results show the feedback effect of FDI on economic growth. The outcomes of this study also show the unidirectional causal relationship between air transport freight and economic growth. Moreover, the results provide support to economic policymakers in their decision-making. These results fill the gaps that assist policymakers of BRICS-MT countries in removing barriers to air transport freight, technological innovation, and foreign direct investment, thereby achieving sustainable economic development.",Nexus (standard); Cointegration; Foreign direct investment; Economics; Granger causality; Panel data; Ordinary least squares; Absorptive capacity; Investment (military); Economic geography; International economics; Macroeconomics; Economy,Air transport; Economic growth; Foreign direct investment; Technological innovation,0
064-368-514-767-514,The Impact of Technological Innovations on Money and Financial Markets,2020-09-23,2020,,Jan Kregel; Paolo Savona,"According to Senior Scholar Jan Kregel and Paolo Savona, attempting to maintain the status quo in the face of the introduction of some recent technological innovations--chiefly cryptocurrencies and associated instruments based on distributed ledger technology, the deployment of artificial intelligence, and the use of data science in financial markets--will create risks that increase instability and threaten national financial systems. In this policy brief, they analyze the impacts of these innovations on the present institutional environment and outline an appropriate regulatory framework. Kregel and Savona argue that a public monopoly on the issuance of cryptocurrency could promote financial stability and help repair the dissociation between finance and the real economy.",Finance; Software deployment; Business; Cryptocurrency; Financial market; Status quo; Face (sociological concept); Monopoly; Real economy; Financial stability,,0
064-707-625-674-330,Finite element analysis of the three-dimensional crack and defects in piezoelectric materials under the electro-mechanical coupling field:,2021-01-05,2021,journal article,Shuai Zhu; Hai‐Tao Liu,"This paper presents three-dimensional planar crack and non-planar defects analysis of piezoelectric materials by the finite element method (FEM). Based on practical engineering, a series of reasona...",Piezoelectricity; Series (mathematics); Planar; Finite element method; Field (physics); Materials science; Electro mechanical coupling; Electric displacement field; Mechanics; Electric field,,1
064-815-737-913-47X,Towards a software-based mobility management for 5G: An experimental approach for flattened network architectures,,2020,journal article,Jesús Calle-Cancho; Jose-Manuel Mendoza-Rubio; José-Luis González-Sánchez; David Cortés-Polo; Javier Carmona-Murillo,"<jats:p>The number of mobile subscribers, as well as the data traffic generated by them, is increasing exponentially with the growth of wireless smart devices and the number of network services that they can support. This significant growth is pushing mobile network operators towards new solutions to improve their network performance and efficiency. Thus, the appearance of Software Defined Networking (SDN) can overcome the limitations of current deployments through decoupling the network control plane from the data plane, allowing higher flexibility and programmability to the network. In this context, the process of handling user mobility becomes an essential part of future mobile networks. Taking advantage of the benefits that SDN brings, in this article we present a novel mobility management solution. This proposal avoids the use of IP-IP tunnels and it adds the dynamic flow management capability provided by SDN. In order to analyse performance, an analytical model is developed to compare it with NB-DMM (Network-based DMM), one of the main DMM (Distributed Mobility Management) solutions. Additionally, performance is also evaluated with an experimental testbed. The results allow handover latency in real scenarios and numerical investigations to be measured, and also show that SR-DMM achieves better efficiency in terms of signaling and routing cost than NB-DMM solution.</jats:p>",Computer architecture; Network architecture; 5G; Software; Mobility management; Computer science,,0
065-095-412-881-055,Impact of Technological Innovations on Tourism Industry,2020-03-13,2020,,Sujata Parwani,"Nowadays tourism has emerged as one of the important sectors attracting the tourists for economic development, promotion of national culture and expanding the areas of influence. In promotion of tourism, technology is playing an important role. Inovation and development are very important to assure sustainable growth for every industry, but in particular for those industries where market isstarted, and clients choose products and services from all over the world such as the case in tourism.This study explores new technology innovation in Tourism Industry  and role of technology in the growth of tourism industry in India and examines the Impact of Technological innovations on Tourism Industry.",Sustainable growth rate; Business; Tourism; National culture; Technology innovation; Economic growth; Promotion (rank),,0
065-124-268-972-840,"Analyzing the association between Innovation, Economic Growth, and Environment: Divulging the Importance of FDI and Trade Openness in India",,2020,,Hashim Zameer; Humaira Yasmeen; Muhammad Wasif Zafar; Abdul Waheed; Avik Sinha,"The objective of this paper is to explore the nexus of innovation-environment and economic growth in the context of the Indian economy. To achieve the study objective, we explored the role of technological innovation, FDI, trade openness, energy use and economic growth toward carbon emissions. Using the data of 1985-2017, the study employed ARDL bound testing and VECM methods to capture the effects of technological innovation, trade openness, FDI, energy use and economic growth on CO2 emissions. Empirical estimation has confirmed the existence of long-run cointegration. Similarly, in the long-run, it is found that trade openness, energy use and economic growth positively reinforce CO2 emissions. In contrast, technological innovation and FDI negatively reinforce CO2 emissions in the long-run. Further, VECM indicate that the relationship among innovation, trade openness, and energy use is bidirectional in the long-run. Whereas, unidirectional relation has been found that is coming from GDP to carbon emissions, FDI, innovation, trade, and energy use. In the short-run, unidirectional link found which is coming from FDI, innovation, and energy use to carbon emission. However, the association between emissions and trade openness is bidirectional. The conclusions put-forward policy implications that innovation is a way to reduce environmental degradation.",Cointegration; Nexus (standard); Economics; International economics; Environmental degradation; Context (language use); Foreign direct investment; Greenhouse gas; Openness to experience; Estimation,,0
065-236-232-345-067,Can foreign trade and technological innovation affect green development: evidence from countries along the Belt and Road,2021-06-17,2021,journal article,Yingzhi Xu; Biying Dong; Zihao Chen,"Foreign trade and technological innovation are major driving forces for the development of the Belt and Road Initiative. This paper investigates the green development of 32 countries along the Belt and Road during the period of 2010–2018, and uses the Data Envelopment Analysis method to measure the green development level of countries along the Belt and Road. Based on the dynamic panel model, the system generalized method of moments is used to estimate the impact of foreign trade and technological innovation on green development. The results indicate that most of countries along the Belt and Road are in inefficient green development, and that there is still much room for improvement. Meanwhile, foreign trade and technological innovation can significantly contribute to green development of countries along the Belt and Road. Further research has found that there is a threshold effect on the impact of technological innovation on green development of countries along the Belt and Road. Therefore, it is suggested that policymakers should promote green development of countries along the Belt and Road by strengthening their trade flows, improving innovation efficiency, changing the way of urbanization and optimizing their health care systems.",International trade; Economics; Generalized method of moments; Data envelopment analysis; Green development; Threshold effect; Urbanization,,0
065-376-240-061-763,How to improve the technological innovation capability of latecomer firms An integrated perspective,2020-12-07,2020,journal article,Lei Yang; Haibing Liu,"This paper discusses the evolution track and micro-mechanism of LCFs’ technological innovation capability from the perspective of integration of “Innovation Strategy-Innovation Paradigm-technological Innovation capability(SPT)”. It makes an longitudinal exploratory case of Huawei Company from 1987 to 2018. In this paper, it is found that: first, Huawei’s evolution of technological innovation capability is “Imitation Innovation capability-Primary Secondary Innovation capability - Ripe Secondary Innovation capability - Integrated Innovation capability - Original Innovation capability”. Technology innovation capability can be measured from three dimensions of technical distance, technical efficiency and technical reserves. Second, absorptive capability is the intermediate variable between the interaction of innovation strategy and technological innovation capability. Third, the driving mechanism, regulating mechanism and catalytic mechanism among the integrated evolution model in SPT of LCFs’ are respectively the Knowledge Cycle Mechanism, Knowledge Diversity and Dissipative Structure Theory. The theoretical contribution of this paper is as follows: it provides a new theoretical perspective for the follow-up research, and also provides a theoretical reference for the existing LCFs to get out of the bottleneck of development.",Imitation; Perspective (graphical); Bottleneck; Technology innovation; Intermediate variable; Industrial organization; Computer science,,0
065-654-847-355-976,The Influence of Outward Foreign Direct Investment on Enterprise Technological Innovation,2021-03-09,2021,journal article,Chenggang Wang; Tiansen Liu; Jinliang Wang,"As the scale of China’s outward foreign direct investment (OFDI) continues to expand, more and more scholars have begun to discuss the influence of OFDI on enterprise technological innovation. In order to be able to deeply explore the impact of enterprises’ OFDI activities on enterprise technological innovation, this paper combines relevant enterprise data from 2015 to 2017 and uses the new method to test the “technological innovation effect” produced by the OFDI of Chinese enterprises. Finally, this paper concluded that the development of OFDI activities of enterprises can promote the improvement of the level of technological innovation of enterprises, and this promotion has a lag effect. R&D-type OFDI activities play a vital role in promoting the ability of technological innovation of enterprises. Compared with low-income host countries, investment in high-income host countries has a greater effect on promoting the ability of technological innovation of enterprises.",Enterprise data management; Business; Order (exchange); China; Investment (macroeconomics); Foreign direct investment; Industrial organization; Scale (social sciences); Promotion (rank),,1
